brand,oem,catalog_products,compatible_printers,oem_search_signal,printer_search_signal_dedup,market_demand_estimate,market_data_confidence,competition_index_avg,bid_low_avg_eur,bid_high_avg_eur,initial_state,top_google_signals
HP,W1420A,4,6,30.0,114.5,122.0,HIGH,100.0,0.34,1.29,PONECHAŤ,HP LaserJet M110w toner: 90 | HP LaserJet MFP M140w toner: 70 | HP W1420A: 30 | W1420A: 30 | W1420A toner: 20
Epson,C13T00S34A,2,33,10.0,76.5,79.0,HIGH,98.1,0.17,0.54,PONECHAŤ,C13T00S34A: 10 | Epson L1110 toner: 10 | Epson L1250 toner: 10 | Epson L3110 toner: 10 | L3110 toner: 10
Epson,C13T00S44A,2,33,10.0,76.5,79.0,HIGH,98.1,0.17,0.54,PONECHAŤ,Epson C13T00S44A: 10 | C13T00S44A: 10 | Epson L1110 toner: 10 | Epson L1250 toner: 10 | Epson L3110 toner: 10
Epson,C13T00S64A,1,33,10.0,76.5,79.0,HIGH,98.2,0.17,0.54,PONECHAŤ,Epson C13T00S64A: 10 | C13T00S64A: 10 | Epson L1110 toner: 10 | Epson L1250 toner: 10 | Epson L3110 toner: 10
HP,W2071A,4,7,10.0,74.5,77.0,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP W2071A: 10
HP,W2072A,4,7,10.0,74.5,77.0,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP W2072A: 10
HP,W2073A,4,7,10.0,74.5,77.0,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP W2073A: 10
HP,W2070X,1,7,10.0,74.5,77.0,HIGH,98.4,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | W2070X: 10
HP,W2071X,1,7,0.0,74.5,74.5,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP Color Laser 150a toner: 10
HP,W2073X,1,7,0.0,74.5,74.5,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP Color Laser 150a toner: 10
HP,W2072X,1,7,0.0,74.5,74.5,HIGH,99.8,0.71,3.2,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20 | HP Color Laser 150a toner: 10
HP,W1106A,3,11,20.0,67.5,72.5,HIGH,99.2,0.58,2.38,PONECHAŤ,HP Laser MFP 135w toner: 50 | W1106A: 20 | HP 135a toner: 20 | toner HP Laser MFP 135w: 20 | HP W1106A: 10
HP,W1106X,1,11,10.0,67.5,70.0,HIGH,99.1,0.56,1.95,PONECHAŤ,HP Laser MFP 135w toner: 50 | HP 135a toner: 20 | toner HP Laser MFP 135w: 20 | HP W1106X: 10 | W1106X: 10
HP,CF283A,4,12,40.0,58.5,68.5,HIGH,98.3,0.49,1.98,PONECHAŤ,CF283A: 40 | HP LaserJet Pro M125nw toner: 20 | toner HP LaserJet Pro M125nw: 20 | HP LaserJet Pro MFP M125nw toner: 20 | HP CF283A: 10
HP,W1106XXL,1,11,0.0,67.5,67.5,HIGH,99.0,0.56,2.03,PONECHAŤ,HP Laser MFP 135w toner: 50 | HP 135a toner: 20 | toner HP Laser MFP 135w: 20 | HP Laser 107a toner: 10 | toner HP Laser 107a: 10
Canon,CRG-719,2,18,0.0,62.5,62.5,HIGH,92.8,,,PONECHAŤ,Canon LBP251dw toner: 10 | LBP251dw toner: 10 | Canon LBP252dw toner: 10 | LBP252dw toner: 10 | Canon LBP253x toner: 10
Canon,CRG-719H,3,18,0.0,62.5,62.5,HIGH,92.8,,,PONECHAŤ,Canon LBP251dw toner: 10 | LBP251dw toner: 10 | Canon LBP252dw toner: 10 | LBP252dw toner: 10 | Canon LBP253x toner: 10
Canon,CRG-719A,1,18,0.0,62.5,62.5,HIGH,92.8,,,PONECHAŤ,Canon LBP251dw toner: 10 | LBP251dw toner: 10 | Canon LBP252dw toner: 10 | LBP252dw toner: 10 | Canon LBP253x toner: 10
HP,CF283AD,1,12,10.0,58.5,61.0,HIGH,98.3,0.41,1.92,PONECHAŤ,HP LaserJet Pro M125nw toner: 20 | toner HP LaserJet Pro M125nw: 20 | HP LaserJet Pro MFP M125nw toner: 20 | HP CF283AD: 10 | CF283AD: 10
Canon,CRG-737,3,14,0.0,55.5,55.5,HIGH,97.5,0.17,1.59,PONECHAŤ,Canon LBP151 toner: 10 | LBP151 toner: 10 | Canon MF211 toner: 10 | MF211 toner: 10 | Canon MF212w toner: 10
HP,CF244A,4,6,40.0,44.0,54.0,HIGH,99.8,0.65,1.89,PONECHAŤ,CF244A: 40 | HP LaserJet Pro MFP M28w toner: 30 | HP CF244A: 20 | CF244A toner: 20 | HP CF244A toner: 10
HP,W2190A,3,8,10.0,51.5,54.0,HIGH,98.2,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | HP W2190A: 10 | W2190A: 10
HP,W2190X,3,8,10.0,51.5,54.0,HIGH,98.2,0.74,2.25,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | HP W2190X: 10 | W2190X: 10
HP,W2191A,3,8,10.0,51.5,54.0,HIGH,97.9,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | HP W2191A: 10 | W2191A: 10
HP,W2191X,3,8,10.0,51.5,54.0,HIGH,97.9,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | W2191X: 10 | HP Color LaserJet Pro 3202DN toner: 10
HP,W2192A,3,8,10.0,51.5,54.0,HIGH,97.9,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | W2192A: 10 | HP Color LaserJet Pro 3202DN toner: 10
HP,W2192X,3,8,10.0,51.5,54.0,HIGH,97.8,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | W2192X: 10 | HP Color LaserJet Pro 3202DN toner: 10
HP,W2193A,3,8,10.0,51.5,54.0,HIGH,97.9,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | HP W2193A: 10 | W2193A: 10
HP,W2193X,3,8,10.0,51.5,54.0,HIGH,97.8,0.73,1.97,PONECHAŤ,HP Color LaserJet Pro MFP 3302FDW toner: 20 | HP Color LaserJet Pro MFP 3302FDWG toner: 20 | HP Color LaserJet Pro MFP 3302SDW toner: 20 | W2193X: 10 | HP Color LaserJet Pro 3202DN toner: 10
Canon,CRG-067H,5,10,0.0,51.5,51.5,HIGH,97.9,0.72,3.46,PONECHAŤ,Canon MF655CDW toner: 20 | Canon LBP243DW toner: 10 | LBP243DW toner: 10 | Canon LBP246DW toner: 10 | LBP246DW toner: 10
Canon,CRG-067BK,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067C,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067HBK,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067HM,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067HY,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067M,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
Canon,CRG-067Y,2,10,0.0,51.5,51.5,HIGH,98.3,0.73,3.6,PONECHAŤ,Canon MF655CDW toner: 20 | Canon MF655CDW toner: 20 | Canon LBP631CW toner: 10 | Canon LBP631CW toner: 10 | LBP631CW toner: 10
HP,CF244X,1,6,10.0,44.0,46.5,HIGH,99.8,0.7,2.0,PONECHAŤ,HP LaserJet Pro MFP M28w toner: 30 | HP CF244X: 10 | CF244X: 10 | CF244X toner: 10 | HP LaserJet Pro M14 toner: 10
HP,CF259X,3,9,30.0,38.0,45.5,HIGH,91.2,0.96,2.34,PONECHAŤ,CF259X: 30 | HP CF259X: 10 | CF259X toner: 10 | HP CF259X toner: 10 | HP LaserJet Enterprise M406dn toner: 10
Canon,CLI-551XLBK,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551XLC,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551XLM,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551XLY,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CRG-057H,3,13,0.0,45.0,45.0,HIGH,95.2,0.15,0.57,PONECHAŤ,Canon LBP223dw toner: 10 | LBP223dw toner: 10 | Canon LBP226dw toner: 10 | LBP226dw toner: 10 | Canon LBP228x toner: 10
Canon,CRG-728,3,17,0.0,45.0,45.0,HIGH,100.0,,,PONECHAŤ,Canon MF4410 toner: 10 | MF4410 toner: 10 | Canon MF4430 toner: 10 | MF4430 toner: 10 | Canon MF4450 toner: 10
Canon,PGI-550/CLI,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,PGI-550XLBK,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551BK,3,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551C,3,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551M,3,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551XL,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CLI-551Y,3,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CRG-057,2,13,0.0,45.0,45.0,HIGH,95.2,0.15,0.57,PONECHAŤ,Canon LBP223dw toner: 10 | LBP223dw toner: 10 | Canon LBP226dw toner: 10 | LBP226dw toner: 10 | Canon LBP228x toner: 10
Canon,PGI-550PGBK,4,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,PGI-555PGBK,1,21,0.0,45.0,45.0,HIGH,96.5,,,PONECHAŤ,Canon PIXMA MG5450 toner: 10 | Canon MG5450 toner: 10 | Canon PIXMA MG5550 toner: 10 | toner Canon PIXMA MG5550: 10 | Canon MG5550 toner: 10
Canon,CRG-725,3,8,0.0,44.5,44.5,HIGH,100.0,0.24,1.06,PONECHAŤ,Canon MF3010 toner: 20 | Canon LBP6000 toner: 10 | LBP6000 toner: 10 | Canon LBP6000B toner: 10 | LBP6000B toner: 10
Canon,CRG-052,3,12,0.0,41.5,41.5,HIGH,97.6,,,PONECHAŤ,Canon LBP212DW toner: 10 | Canon LBP212DW toner: 10 | LBP212DW toner: 10 | Canon LBP214DW toner: 10 | Canon LBP214DW toner: 10
Canon,CRG-052H,3,12,0.0,41.5,41.5,HIGH,97.6,,,PONECHAŤ,Canon LBP212DW toner: 10 | Canon LBP212DW toner: 10 | LBP212DW toner: 10 | Canon LBP214DW toner: 10 | Canon LBP214DW toner: 10
Canon,CRG-731H,3,11,0.0,41.5,41.5,HIGH,82.8,,,PONECHAŤ,Canon LBP7100CN toner: 10 | Canon LBP7100CN toner: 10 | LBP7100CN toner: 10 | Canon LBP7110CW toner: 10 | Canon LBP7110CW toner: 10
HP,CF259A,3,9,10.0,38.0,40.5,HIGH,90.5,1.37,3.1,PONECHAŤ,HP CF259A: 10 | CF259A: 10 | CF259A toner: 10 | HP CF259A toner: 10 | HP LaserJet Enterprise M406dn toner: 10
Xerox,WORKCENTRE,56,65,40.0,0.0,40.0,MEDIUM,59.5,0.06,1.23,PONECHAŤ,WORKCENTRE: 40 | Xerox WORKCENTRE: 20 | Xerox WORKCENTRE toner: 10
HP,CF226X,4,8,20.0,34.5,39.5,HIGH,98.2,0.31,1.02,PONECHAŤ,CF226X: 20 | HP CF226X: 10 | CF226X toner: 10 | HP CF226X toner: 10 | HP LaserJet Pro M402d toner: 10
HP,W1350X,3,9,20.0,34.0,39.0,HIGH,100.0,0.27,0.97,PONECHAŤ,W1350X: 20 | HP LaserJet M209dw toner: 20 | HP W1350X: 10 | W1350X toner: 10 | HP W1350X toner: 10
HP,W1350A,3,9,20.0,34.0,39.0,HIGH,100.0,0.38,0.97,PONECHAŤ,W1350A: 20 | HP LaserJet M209dw toner: 20 | HP W1350A: 10 | W1350A toner: 10 | HP W1350A toner: 10
Canon,CLI-521BK,2,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,CLI-521C,2,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,CLI-521M,2,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,CLI-521Y,2,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,CLI-526BK,3,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,CLI-526C,3,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,CLI-526M,3,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,CLI-526Y,3,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,CLI-581XXLBK,1,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581XXLC,1,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581XXLM,1,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581XXLY,1,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,PGI-520/CLI,1,11,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,PGI-520BK,1,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,PGI-525/CLI,1,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,PGI-525PGBK,2,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,PGI-580/CLI,2,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,PGI-580XXLPGBK,1,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-521,1,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
Canon,CLI-526,2,21,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA MG5150 toner: 10 | toner Canon PIXMA MG5150: 10 | Canon MG5150 toner: 10 | Canon MG5200 toner: 10 | Canon PIXMA MG5250 toner: 10
Canon,CLI-581,2,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581BK,4,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581C,4,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581M,4,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CLI-581Y,4,27,0.0,38.0,38.0,HIGH,100.0,,,PONECHAŤ,Canon PIXMA TR7550 toner: 10 | Canon TR7550 toner: 10 | Canon TR8550 toner: 10 | Canon TS6150 toner: 10 | Canon TS6151 toner: 10
Canon,CRG-731C,2,10,0.0,38.0,38.0,HIGH,80.9,,,PONECHAŤ,Canon LBP7100CN toner: 10 | Canon LBP7100CN toner: 10 | LBP7100CN toner: 10 | Canon LBP7110CW toner: 10 | Canon LBP7110CW toner: 10
Canon,CRG-731M,2,10,0.0,38.0,38.0,HIGH,80.9,,,PONECHAŤ,Canon LBP7100CN toner: 10 | Canon LBP7100CN toner: 10 | LBP7100CN toner: 10 | Canon LBP7110CW toner: 10 | Canon LBP7110CW toner: 10
Canon,CRG-731Y,2,10,0.0,38.0,38.0,HIGH,80.9,,,PONECHAŤ,Canon LBP7100CN toner: 10 | Canon LBP7100CN toner: 10 | LBP7100CN toner: 10 | Canon LBP7110CW toner: 10 | Canon LBP7110CW toner: 10
Canon,PGI-520PGBK,2,13,0.0,38.0,38.0,HIGH,,,,PONECHAŤ,Canon PIXMA MP540 toner: 10 | Canon MP540 toner: 10 | Canon PIXMA MP550 toner: 10 | toner Canon PIXMA MP550: 10 | Canon MP550 toner: 10
